,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
1983,5.2,,2,,,,,,12.0,,,,0,,Jim Harbaugh,,5,,40.0,0,26,5.2,jim-harbaugh-1,2,0,QB,,83.7,,,,,2,0,-15,-7.5,0,,,1983,,,Michigan,,0,,,-15,-7.5,,,,
1984,5.0,,60,,,,,,12.0,,,,5,,Jim Harbaugh,,111,,54.1,3,718,6.5,jim-harbaugh-1,43,0,QB,,108.3,0.0,4.0,4.0,1.0,42,0,54,1.3,0,,,1984,,,Michigan,,0,,,58,1.3,,,,
1985,9.1,,145,,,,,,12.0,,,,6,,Jim Harbaugh,,227,,63.9,18,1976,8.7,jim-harbaugh-1,79,24,QB,,157.9,,,,,79,4,139,1.8,4,,,1985,,,Michigan,,4,,,139,1.8,,,,
1986,8.8,,180,,,,,,13.0,,,,11,,Jim Harbaugh,,277,,65.0,10,2729,9.9,jim-harbaugh-1,94,48,QB,,151.7,,,,,94,8,118,1.3,8,,,1986,,,Michigan,,8,,,118,1.3,,,,
Career,8.2,,387,,,,,,,,,,22,,Jim Harbaugh,,620,,62.4,31,5449,8.8,jim-harbaugh-1,218,72,QB,,145.6,0.0,4.0,4.0,1.0,217,12,296,1.4,12,,,Career,,,Michigan,,12,,,300,1.4,,,,
