,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
1989,7.3,,73,,,,,,12.0,,,,3,,Elvis Grbac,,116,,62.9,8,824,7.1,elvis-grbac-1,20,0,QB,,140.2,,,,,20,0,-103,-5.2,0,,,1989,,,Michigan,,0,,,-103,-5.2,,,,
1990,7.1,,155,,,,,,12.0,,,,10,,Elvis Grbac,,266,,58.3,21,1911,7.2,elvis-grbac-1,22,0,QB,,137.2,,,,,22,0,17,0.8,0,,,1990,,,Michigan,,0,,,17,0.8,,,,
1991,9.1,,165,,,,,,12.0,,,,6,,Elvis Grbac,,254,,65.0,25,2085,8.2,elvis-grbac-1,23,0,QB,,161.7,,,,,23,0,-103,-4.5,0,,,1991,,,Michigan,,0,,,-103,-4.5,,,,
1992,7.2,,129,,,,,,12.0,,,,12,,Elvis Grbac,,199,,64.8,17,1640,8.2,elvis-grbac-1,15,6,QB,,150.2,,,,,15,1,-50,-3.3,1,,,1992,,,Michigan,,1,,,-50,-3.3,,,,
Career,7.8,,522,,,,,,,,,,31,,Elvis Grbac,,835,,62.5,71,6460,7.7,elvis-grbac-1,80,6,QB,,148.1,,,,,80,1,-239,-3.0,1,,,Career,,,Michigan,,1,,,-239,-3.0,,,,
