,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
1997,8.6,,293,,,,,,11.0,,,,10,,Tim Rattay,,477,,61.4,34,3881,8.1,tim-rattay-1,65,6,QB,,149.1,0.0,-4.0,-4.0,1.0,64,1,87,1.4,1,,,1997,,,Louisiana Tech,,1,,,83,1.3,,,,
1998,9.4,,380,,,,,,12.0,,,,13,,Tim Rattay,,559,,68.0,46,4943,8.8,tim-rattay-1,44,6,QB,,164.8,0.0,2.0,2.0,1.0,43,1,-78,-1.8,1,,,1998,,,Louisiana Tech,,1,,,-76,-1.7,,,,
1999,7.9,,342,,,,,,10.0,,,,12,,Tim Rattay,,516,,66.3,35,3922,7.6,tim-rattay-1,46,0,QB,,147.9,,,,,46,0,-112,-2.4,0,,,1999,,,Louisiana Tech,,0,,,-112,-2.4,,,,
Career,8.7,,1015,,,,,,,,,,35,,Tim Rattay,,1552,,65.4,115,12746,8.2,tim-rattay-1,155,12,QB,,154.3,0.0,-2.0,-1.0,2.0,153,2,-103,-0.7,2,,,Career,,,Louisiana Tech,,2,,,-105,-0.7,,,,
