,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2001,3.6,,17,,,,,,11.0,,,,3,,Derek Anderson,,41,,41.5,1,263,6.4,derek-anderson-1,5,0,QB,,88.8,,,,,5,0,-25,-5.0,0,,,2001,,,Oregon State,,0,,,-25,-5.0,,,,FR
2002,7.2,,211,,,,,,13.0,,,,13,,Derek Anderson,,449,,47.0,25,3313,7.4,derek-anderson-1,45,12,QB,,121.6,,,,,45,2,-231,-5.1,2,,,2002,,,Oregon State,,2,,,-231,-5.1,,,,SO
2003,6.8,,261,,,,,,13.0,,,,24,,Derek Anderson,,510,,51.2,24,4058,8.0,derek-anderson-1,57,24,QB,,124.1,,,,,57,4,-125,-2.2,4,,,2003,,,Oregon State,,4,,,-125,-2.2,,,,JR
2004,6.7,,279,,,,,,12.0,,,,17,,Derek Anderson,,515,,54.2,29,3615,7.0,derek-anderson-1,75,12,QB,,125.1,,,,,75,2,-152,-2.0,2,,,2004,,,Oregon State,,2,,,-152,-2.0,,,,SR
Career,6.8,,768,,,,,,,,,,57,,Derek Anderson,,1515,,50.7,79,11249,7.4,derek-anderson-1,182,48,QB,,122.7,,,,,182,8,-533,-2.9,8,,,Career,,,Oregon State,,8,,,-533,-2.9,,,,
