,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
1991,6.8,,69,,,,,,9.0,,,,3,,Trent Dilfer,,109,,63.3,2,832,7.6,trent-dilfer-1,31,30,QB,,128.0,,,,,31,5,177,5.7,5,,,1991,,,Fresno State,,5,,,177,5.7,,,,
1992,7.8,,188,,,,,,13.0,,,,14,,Trent Dilfer,,360,,52.2,21,3000,8.3,trent-dilfer-1,81,12,QB,,133.7,0.0,13.0,13.0,1.0,80,2,90,1.1,2,,,1992,,,Fresno State,,2,,,103,1.3,,,,
1993,10.5,,254,,,,,,12.0,,,,5,,Trent Dilfer,,396,,64.1,30,3799,9.6,trent-dilfer-1,41,6,QB,,167.2,0.0,15.0,15.0,1.0,40,1,-113,-2.8,1,,,1993,,,Fresno State,,1,,,-98,-2.4,,,,
Career,8.9,,511,,,,,,,,,,22,,Trent Dilfer,,865,,59.1,53,7631,8.8,trent-dilfer-1,153,48,QB,,148.3,0.0,28.0,14.0,2.0,151,8,154,1.0,8,,,Career,,,Fresno State,,8,,,182,1.2,,,,
