,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
1994,6.5,,4,,,,,,5.0,,,,0,,Matt Hasselbeck,,6,,66.7,0,39,6.5,matt-hasselbeck-1,5,0,QB,,121.3,,,,,5,0,8,1.6,0,,,1994,,,Boston College,,0,,,8,1.6,,,,
1995,0.1,,27,,,,,,11.0,,,,7,,Matt Hasselbeck,,60,,45.0,2,280,4.7,matt-hasselbeck-1,10,6,QB,,71.9,,,,,10,1,-6,-0.6,1,,,1995,,,Boston College,,1,,,-6,-0.6,,,,
1996,5.3,,171,,,,,,11.0,,,,9,,Matt Hasselbeck,,330,,51.8,9,1990,6.0,matt-hasselbeck-1,87,12,QB,,106.0,,,,,87,2,-214,-2.5,2,,,1996,,,Boston College,,2,,,-214,-2.5,,,,
1997,6.6,,188,,,,,,10.0,,,,10,,Matt Hasselbeck,,305,,61.6,11,2239,7.3,matt-hasselbeck-1,71,6,QB,,128.6,,,,,71,1,24,0.3,1,,,1997,,,Boston College,,1,,,24,0.3,,,,
Career,5.4,,390,,,,,,,,,,26,,Matt Hasselbeck,,701,,55.6,22,4548,6.5,matt-hasselbeck-1,173,24,QB,,113.1,,,,,173,4,-188,-1.1,4,,,Career,,,Boston College,,4,,,-188,-1.1,,,,
