,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
1997,6.7,,108,,,,,,11.0,,,,7,,Akili Smith,,200,,54.0,13,1385,6.9,akili-smith-1,89,12,QB,,126.6,,,,,89,2,183,2.1,2,,,1997,,,Oregon,,2,,,183,2.1,,,,
1998,10.9,,215,,,,,,12.0,,,,8,,Akili Smith,,371,,58.0,32,3763,10.1,akili-smith-1,82,24,QB,,167.3,,,,,82,4,184,2.2,4,,,1998,,,Oregon,,4,,,184,2.2,,,,
Career,9.4,,323,,,,,,,,,,15,,Akili Smith,,571,,56.6,45,5148,9.0,akili-smith-1,171,36,QB,,153.1,,,,,171,6,367,2.1,6,,,Career,,,Oregon,,6,,,367,2.1,,,,
