,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2002,7.5,,60,,,,,,12.0,,,,5,,Brodie Croyle,,123,,48.8,5,1046,8.5,brodie-croyle-1,38,18,QB,,125.5,,,,,38,3,-2,-0.1,3,,,2002,,,Alabama,,3,,,-2,-0.1,,,,SO
2003,6.0,,182,,,,,,12.0,,,,13,,Brodie Croyle,,341,,53.4,16,2303,6.8,brodie-croyle-1,72,0,QB,,118.0,,,,,72,0,8,0.1,0,,,2003,,,Alabama,,0,,,8,0.1,,,,JR
2004,9.9,,44,,,,,,3.0,,,,0,,Brodie Croyle,,66,,66.7,6,534,8.1,brodie-croyle-1,9,0,QB,,164.6,,,,,9,0,-27,-3.0,0,,,2004,,,Alabama,,0,,,-27,-3.0,,,,JR
2005,7.7,,202,,,,,,12.0,,,,4,,Brodie Croyle,,339,,59.6,14,2499,7.4,brodie-croyle-1,64,6,QB,,132.8,,,,,64,1,-156,-2.4,1,,,2005,,,Alabama,,1,,,-156,-2.4,,,,SR
Career,7.1,,488,,,,,,,,,,22,,Brodie Croyle,,869,,56.2,41,6382,7.3,brodie-croyle-1,183,24,QB,,128.4,,,,,183,4,-177,-1.0,4,,,Career,,,Alabama,,4,,,-177,-1.0,,,,
