,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
1996,8.7,,19,,,,,,6.0,,,,1,,Marc Bulger,,42,,45.2,3,352,8.4,marc-bulger-1,3,0,QB,,134.4,,,,,3,0,-17,-5.7,0,,,1996,,,West Virginia,,0,,,-17,-5.7,,,,
1997,7.1,,192,,,,,,12.0,,,,10,,Marc Bulger,,323,,59.4,14,2465,7.6,marc-bulger-1,53,12,QB,,131.7,0.0,-1.0,-1.0,1.0,52,2,-93,-1.8,2,,,1997,,,West Virginia,,2,,,-94,-1.8,,,,
1998,9.0,,274,,,,,,12.0,,,,10,,Marc Bulger,,419,,65.4,31,3607,8.6,marc-bulger-1,33,0,QB,,157.3,,,,,33,0,-92,-2.8,0,,,1998,,,West Virginia,,0,,,-92,-2.8,,,,
1999,5.7,,145,,,,,,8.0,,,,13,,Marc Bulger,,239,,60.7,11,1729,7.2,marc-bulger-1,19,0,QB,,125.7,,,,,19,0,-124,-6.5,0,,,1999,,,West Virginia,,0,,,-124,-6.5,,,,
Career,7.6,,630,,,,,,,,,,34,,Marc Bulger,,1023,,61.6,59,8153,8.0,marc-bulger-1,108,12,QB,,140.9,0.0,-1.0,-1.0,1.0,107,2,-326,-3.0,2,,,Career,,,West Virginia,,2,,,-327,-3.0,,,,
