,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2001,6.8,,170,,,,,,11.0,,,,6,,Charlie Frye,,289,,58.8,9,2053,7.1,charlie-frye-1,62,18,QB,,124.6,,,,,62,3,22,0.4,3,,,2001,,,Akron,,3,,,22,0.4,,,,FR
2002,7.2,,250,,,,,,12.0,,,,9,,Charlie Frye,,380,,65.8,15,2824,7.4,charlie-frye-1,103,42,QB,,136.5,0.0,-4.0,-4.0,1.0,102,7,125,1.2,7,,,2002,,,Akron,,7,,,121,1.2,,,,SO
2003,8.5,,273,,,,,,12.0,,,,9,,Charlie Frye,,421,,64.8,22,3549,8.4,charlie-frye-1,112,42,QB,,148.6,0.0,14.0,14.0,1.0,111,7,288,2.6,7,,,2003,,,Akron,,7,,,302,2.7,,,,JR
2004,7.6,,220,,,,,,11.0,,,,8,,Charlie Frye,,346,,63.6,18,2623,7.6,charlie-frye-1,100,12,QB,,139.8,,,,,100,2,-6,-0.1,2,,,2004,,,Akron,,2,,,-6,-0.1,,,,SR
Career,7.6,,913,,,,,,,,,,32,,Charlie Frye,,1436,,63.6,64,11049,7.7,charlie-frye-1,377,114,QB,,138.5,0.0,10.0,5.0,2.0,375,19,429,1.1,19,,,Career,,,Akron,,19,,,439,1.2,,,,
