,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2000,6.2,,244,,,,,,8.0,,,,15,,Luke McCown,,369,,66.1,21,2544,6.9,luke-mccown-1,55,18,QB,,134.7,,,,,55,3,-29,-0.5,3,,,2000,,,Louisiana Tech,,3,,,-29,-0.5,,,,FR
2001,7.0,,277,,,,,,11.0,,,,14,,Luke McCown,,469,,59.1,28,3337,7.1,luke-mccown-1,87,24,QB,,132.6,,,,,87,4,144,1.7,4,,,2001,,,Louisiana Tech,,4,,,144,1.7,,,,SO
2002,6.1,,296,,,,,,12.0,,,,19,,Luke McCown,,505,,58.6,19,3539,7.0,luke-mccown-1,61,12,QB,,122.4,,,,,61,2,30,0.5,2,,,2002,,,Louisiana Tech,,2,,,30,0.5,,,,JR
2003,6.9,,246,,,,,,12.0,,,,14,,Luke McCown,,432,,56.9,19,3246,7.5,luke-mccown-1,72,6,QB,,128.1,0.0,-1.0,-1.0,1.0,71,1,-80,-1.1,1,,,2003,,,Louisiana Tech,,1,,,-81,-1.1,,,,SR
Career,6.5,,1063,,,,,,,,,,62,,Luke McCown,,1775,,59.9,87,12666,7.1,luke-mccown-1,275,60,QB,,129.0,0.0,-1.0,-1.0,1.0,274,10,65,0.2,10,,,Career,,,Louisiana Tech,,10,,,64,0.2,,,,
