,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2008,2.7,,1,,,,,,1.0,,,,0,,Brandon Weeden,,3,,33.3,0,8,2.7,brandon-weeden-1,1,0,QB,,55.7,,,,,1,0,2,2.0,0,,,2008,,,Oklahoma State,,0,,,2,2.0,,,,FR
2009,11.8,,15,,,,,,3.0,,,,1,,Brandon Weeden,,24,,62.5,4,248,10.3,brandon-weeden-1,4,0,QB,,196.0,,,,,4,0,18,4.5,0,,,2009,,,Oklahoma State,,0,,,18,4.5,,,,SO
2010,8.6,,342,,,,,,13.0,,,,13,,Brandon Weeden,,511,,66.9,34,4277,8.4,brandon-weeden-1,17,0,QB,,154.1,,,,,17,0,-68,-4.0,0,,,2010,,,Oklahoma State,,0,,,-68,-4.0,,,,JR
2011,8.6,1.0,409,,,,,,13.0,,,,13,,Brandon Weeden,,565,,72.4,37,4727,8.4,brandon-weeden-1,17,6,QB,,159.7,,,,,17,1,-102,-6.0,1,0.0,,2011,1.0,0.0,Oklahoma State,2.0,1,,,-102,-6.0,,,,SR
Career,8.7,1.0,767,,,,,,,,,,27,,Brandon Weeden,,1103,,69.5,75,9260,8.4,brandon-weeden-1,39,6,QB,,157.6,,,,,39,1,-150,-3.8,1,0.0,,Career,1.0,0.0,Oklahoma State,2.0,1,,,-150,-3.8,,,,
