,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2003,9.7,,255,,,,,,13.0,,,,9,,Matt Leinart,,402,,63.4,38,3556,8.8,matt-leinart-1,33,6,QB,,164.5,1.0,15.0,15.0,1.0,32,0,-62,-1.9,1,,,2003,,,USC,,1,,,-47,-1.4,,,,SO
2004,9.0,,269,,,,,,13.0,,,,6,,Matt Leinart,,412,,65.3,33,3322,8.1,matt-leinart-1,49,18,QB,,156.5,,,,,49,3,-44,-0.9,3,,,2004,,,USC,,3,,,-44,-0.9,,,,JR
2005,9.3,,283,,,,,,13.0,,,,8,,Matt Leinart,,431,,65.7,28,3815,8.9,matt-leinart-1,52,36,QB,,157.7,0.0,11.0,11.0,1.0,51,6,36,0.7,6,,,2005,,,USC,,6,,,47,0.9,,,,SR
Career,9.3,,807,,,,,,,,,,23,,Matt Leinart,,1245,,64.8,99,10693,8.6,matt-leinart-1,134,60,QB,,159.5,1.0,26.0,13.0,2.0,132,9,-70,-0.5,10,,,Career,,,USC,,10,,,-44,-0.3,,,,
