,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
1996,5.6,,144,,,,,,11.0,,,,9,,Chris Redman,,272,,52.9,8,1773,6.5,chris-redman-1,37,0,QB,,110.8,,,,,37,0,-148,-4.0,0,,,1996,,,Louisville,,0,,,-148,-4.0,,,,
1997,6.3,,261,,,,,,11.0,,,,14,,Chris Redman,,445,,58.7,18,3079,6.9,chris-redman-1,47,0,QB,,123.8,,,,,47,0,-121,-2.6,0,,,1997,,,Louisville,,0,,,-121,-2.6,,,,
1998,8.3,,309,,,,,,10.0,,,,15,,Chris Redman,,473,,65.3,29,4042,8.5,chris-redman-1,40,12,QB,,151.0,,,,,40,2,-33,-0.8,2,,,1998,,,Louisville,,2,,,-33,-0.8,,,,
1999,7.4,,317,,,,,,11.0,,,,13,,Chris Redman,,489,,64.8,29,3647,7.5,chris-redman-1,43,6,QB,,141.7,,,,,43,1,-110,-2.6,1,,,1999,,,Louisville,,1,,,-110,-2.6,,,,
Career,7.1,,1031,,,,,,,,,,51,,Chris Redman,,1679,,61.4,84,12541,7.5,chris-redman-1,167,18,QB,,134.6,,,,,167,3,-412,-2.5,3,,,Career,,,Louisville,,3,,,-412,-2.5,,,,
