,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
1989,7.6,,172,,,,,,11.0,,,,11,,Alex Van Pelt,,307,,56.0,15,2527,8.2,alex-van-pelt-1,30,18,QB,,134.1,,,,,30,3,-91,-3.0,3,,,1989,,,Pitt,,3,,,-91,-3.0,,,,
1990,5.5,,201,,,,,,11.0,,,,17,,Alex Van Pelt,,351,,57.3,14,2427,6.9,alex-van-pelt-1,24,12,QB,,118.8,,,,,24,2,11,0.5,2,,,1990,,,Pitt,,2,,,11,0.5,,,,
1991,6.2,,227,,,,,,11.0,,,,14,,Alex Van Pelt,,398,,57.0,15,2796,7.0,alex-van-pelt-1,26,6,QB,,121.4,,,,,26,1,-19,-0.7,1,,,1991,,,Pitt,,1,,,-19,-0.7,,,,
1992,6.9,,245,,,,,,12.0,,,,17,,Alex Van Pelt,,407,,60.2,20,3163,7.8,alex-van-pelt-1,27,0,QB,,133.3,,,,,27,0,0,0.0,0,,,1992,,,Pitt,,0,,,0,0.0,,,,
Career,6.5,,845,,,,,,,,,,59,,Alex Van Pelt,,1463,,57.8,64,10913,7.5,alex-van-pelt-1,107,36,QB,,126.8,,,,,107,6,-99,-0.9,6,,,Career,,,Pitt,,6,,,-99,-0.9,,,,
