,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2006,4.8,0.0,180,,,,,,12.0,,,,16,,Thaddeus Lewis,,340,,52.9,11,2134,6.3,thaddeus-lewis-2,99,6,QB,,106.9,,,,,99,1,-74,-0.7,1,0.0,,2006,2.0,0.0,Duke,2.0,1,,,-74,-0.7,,,,FR
2007,6.7,0.0,199,,,,,,12.0,,,,10,,Thaddeus Lewis,,360,,55.3,21,2430,6.8,thaddeus-lewis-2,96,12,QB,,125.7,,,,,96,2,-148,-1.5,2,0.0,,2007,2.0,0.0,Duke,2.0,2,,,-148,-1.5,,,,SO
2008,6.1,0.0,224,,,,,,11.0,,,,6,,Thaddeus Lewis,,361,,62.0,15,2171,6.0,thaddeus-lewis-2,69,12,QB,,123.0,,,,,69,2,96,1.4,2,0.0,,2008,1.0,0.0,Duke,1.0,2,,,96,1.4,,,,JR
2009,7.5,,274,,,,,,12.0,,,,8,,Thaddeus Lewis,,449,,61.0,20,3330,7.4,thaddeus-lewis-2,86,24,QB,,134.5,,,,,86,4,48,0.6,4,,,2009,,,Duke,,4,,,48,0.6,,,,SR
Career,6.4,0.0,877,,,,,,,,,,40,,Thaddeus Lewis,,1510,,58.1,67,10065,6.7,thaddeus-lewis-2,350,54,QB,,123.4,,,,,350,9,-78,-0.2,9,0.0,,Career,5.0,0.0,Duke,5.0,9,,,-78,-0.2,,,,
