,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2003,13.0,,2,,,,,,13.0,,,,0,,Drew Stanton,,3,,66.7,0,39,13.0,drew-stanton-1,5,6,QB,,175.9,,,,,5,1,42,8.4,1,,,2003,,,Michigan State,,1,,,42,8.4,,,,SO
2004,6.8,,141,,,,,,10.0,,,,6,,Drew Stanton,,220,,64.1,8,1601,7.3,drew-stanton-1,98,36,QB,,131.8,1.0,22.0,11.0,2.0,96,5,687,7.2,6,,,2004,,,Michigan State,,6,,,709,7.2,,,,JR
2005,8.4,0.0,236,,,,,,11.0,,,,12,,Drew Stanton,,354,,66.7,22,3077,8.7,drew-stanton-1,122,24,QB,,153.4,0.0,-6.0,-6.0,1.0,121,4,338,2.8,4,0.0,,2005,2.0,0.0,Michigan State,2.0,4,,,332,2.7,,,,JR
2006,5.9,0.0,164,,,,,,11.0,,,,10,,Drew Stanton,,269,,61.0,12,1807,6.7,drew-stanton-1,110,30,QB,,124.7,,,,,110,5,445,4.0,5,0.0,,2006,1.0,0.0,Michigan State,1.0,5,,,445,4.0,,,,SR
Career,7.2,0.0,543,,,,,,,,,,28,,Drew Stanton,,846,,64.2,42,6524,7.7,drew-stanton-1,335,96,QB,,138.7,1.0,16.0,5.3,3.0,332,15,1512,4.6,16,0.0,,Career,3.0,0.0,Michigan State,3.0,16,,,1528,4.6,,,,
