,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
1995,7.5,,17,,,,,,9.0,,,,1,,Anthony Wright,,27,,63.0,2,207,7.7,anthony-wright-4,11,0,QB,,144.4,,,,,11,0,7,0.6,0,,,1995,,,South Carolina,,0,,,7,0.6,,,,
1996,7.1,,131,,,,,,11.0,,,,6,,Anthony Wright,,244,,53.7,8,1850,7.6,anthony-wright-4,98,18,QB,,123.3,0.0,-6.0,-6.0,1.0,97,3,90,0.9,3,,,1996,,,South Carolina,,3,,,84,0.9,,,,
1997,7.2,,139,,,,,,9.0,,,,5,,Anthony Wright,,252,,55.2,18,1685,6.7,anthony-wright-4,71,6,QB,,130.9,,,,,71,1,44,0.6,1,,,1997,,,South Carolina,,1,,,44,0.6,,,,
1998,6.0,,145,,,,,,11.0,,,,10,,Anthony Wright,,273,,53.1,10,1899,7.0,anthony-wright-4,79,18,QB,,116.3,,,,,79,3,56,0.7,3,,,1998,,,South Carolina,,3,,,56,0.7,,,,
Career,6.8,,432,,,,,,,,,,22,,Anthony Wright,,796,,54.3,38,5641,7.1,anthony-wright-4,259,42,QB,,124.0,0.0,-6.0,-6.0,1.0,258,7,197,0.8,7,,,Career,,,South Carolina,,7,,,191,0.7,,,,
