,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
1990,7.3,,92,,,,,,7.0,,,,4,,Drew Bledsoe,,189,,48.7,9,1386,7.3,drew-bledsoe-1,50,30,QB,,121.8,1.0,2.0,2.0,1.0,49,4,-67,-1.4,5,,,1990,,,Washington State,,5,,,-65,-1.3,,,,
1991,6.7,,199,,,,,,11.0,,,,15,,Drew Bledsoe,,358,,55.6,17,2741,7.7,drew-bledsoe-1,104,12,QB,,127.2,,,,,104,2,-94,-0.9,2,,,1991,,,Washington State,,2,,,-94,-0.9,,,,
1992,6.9,,241,,,,,,12.0,,,,15,,Drew Bledsoe,,432,,55.8,20,3246,7.5,drew-bledsoe-1,9,24,QB,,127.2,,,,,9,4,-12,-1.3,4,,,1992,,,Washington State,,4,,,-12,-1.3,,,,
Career,6.9,,532,,,,,,,,,,34,,Drew Bledsoe,,979,,54.3,46,7373,7.5,drew-bledsoe-1,163,66,QB,,126.2,1.0,2.0,2.0,1.0,162,10,-173,-1.1,11,,,Career,,,Washington State,,11,,,-171,-1.0,,,,
