,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2007,10.3,,8,,,,,,2.0,,,,0,,Greg McElroy,,9,,88.9,1,73,8.1,greg-mcelroy-1,0,0,QB,,193.7,,,,,,,,,0,,,2007,,,Alabama,,0,,,0,,,,,FR
2008,8.9,,8,,,,,,6.0,,,,1,,Greg McElroy,,11,,72.7,1,123,11.2,greg-mcelroy-1,0,0,QB,,178.5,,,,,,,,,0,,,2008,,,Alabama,,0,,,0,,,,,SO
2009,8.2,1.0,198,,,,,,14.0,,,,4,,Greg McElroy,,325,,60.9,17,2508,7.7,greg-mcelroy-1,54,6,QB,,140.5,,,,,54.0,1.0,83.0,1.5,1,0.0,,2009,0.0,0.0,Alabama,1.0,1,,,83,1.5,,,,JR
2010,10.1,,222,,,,,,13.0,,,,5,,Greg McElroy,,313,,70.9,20,2987,9.5,greg-mcelroy-1,60,6,QB,,169.0,,,,,60.0,1.0,-12.0,-0.2,1,,,2010,,,Alabama,,1,,,-12,-0.2,,,,SR
Career,9.2,1.0,436,,,,,,,,,,10,,Greg McElroy,,658,,66.3,39,5691,8.6,greg-mcelroy-1,114,12,QB,,155.4,,,,,114.0,2.0,71.0,0.6,2,0.0,,Career,0.0,0.0,Alabama,1.0,2,,,71,0.6,,,,
