,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
1994,9.1,,49,,,,,,8.0,,,,1,,Charlie Batch,,78,,62.8,7,617,7.9,charlie-batch-1,23,6,QB,,156.3,,,,,23,1,0,0.0,1,,,1994,,,Eastern Michigan,,1,,,0,0.0,,,,
1995,6.7,,244,,,,,,11.0,,,,17,,Charlie Batch,,421,,58.0,21,3177,7.5,charlie-batch-1,61,18,QB,,129.7,,,,,61,3,52,0.9,3,,,1995,,,Eastern Michigan,,3,,,52,0.9,,,,
1996,7.2,,39,,,,,,2.0,,,,2,,Charlie Batch,,65,,60.0,2,518,8.0,charlie-batch-1,12,0,QB,,130.9,,,,,12,0,-39,-3.3,0,,,1996,,,Eastern Michigan,,0,,,-39,-3.3,,,,
1997,7.5,,247,,,,,,11.0,,,,11,,Charlie Batch,,434,,56.9,23,3280,7.6,charlie-batch-1,85,6,QB,,132.8,,,,,85,1,110,1.3,1,,,1997,,,Eastern Michigan,,1,,,110,1.3,,,,
Career,7.3,,579,,,,,,,,,,31,,Charlie Batch,,998,,58.0,53,7592,7.6,charlie-batch-1,181,30,QB,,133.2,,,,,181,5,123,0.7,5,,,Career,,,Eastern Michigan,,5,,,123,0.7,,,,
