,Name,player_id,position
29,Paul Justin,JustPa00,"['qb', 'qb', 'qb', 'qb', '', '']"
50,Kurt Warner,WarnKu00,"['', 'QB', 'QB', 'QB', 'qb', 'qb', 'QB', 'QB', 'qb', 'QB', 'QB', 'QB', '']"
27,Brad Johnson,JohnBr00,"['', '', 'qb', 'QB', 'qb', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'QB', '', 'qb', '']"
37,Rodney Peete,PeetRo00,"['QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'qb', 'qb', 'qb', '', '', 'QB', 'qb', '', '']"
27,Peyton Manning,MannPe00,"['QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', None, 'QB', 'QB', 'QB', 'QB', '']"
52,Steve Walsh,WalsSt00,"['qb', '', '', 'qb', 'qb', 'QB', '', 'qb', '', '', 'p', '']"
3,Steve Beuerlein,BeueSt00,"['qb', 'qb', None, 'qb', '', 'QB', 'qb', 'qb', 'qb', 'qb', 'QB', 'QB', 'QB', 'qb', 'qb', '']"
5,Steve Bono,BonoSt00,"['', '', 'qb', '', '', 'qb', '', '', 'qb', 'QB', 'QB', '', 'qb', '', '']"
13,Daunte Culpepper,CulpDa00,"['', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'qb', 'qb', 'qb', 'qb', '']"
14,Randall Cunningham,CunnRa00,"['qb', 'qb', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'qb', 'QB', 'qb', None, 'qb', 'QB', 'qb', 'qb', 'qb', '']"
19,Jeff George,GeorJe00,"['QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'QB', 'QB', 'qb', 'qb', '']"
8,Mark Brunell,BrunMa00,"['', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'QB', 'QB', '', 'qb', '', '', '']"
15,Jay Fiedler,FiedJa00,"['', '', 'qb', 'QB', 'QB', 'QB', 'QB', 'qb', '', '']"
31,Steve McNair,McNaSt00,"['qb', 'qb', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', '']"
34,Neil O'Donnell,ODonNe00,"['QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'QB', 'qb', '', '', '', '', '']"
14,Elvis Grbac,GrbaEl00,"['', 'qb', 'qb', 'QB', 'qb', 'QB', 'QB', 'QB', '']"
25,Warren Moon,MoonWa00,"['QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '', '', '']"
15,Rich Gannon,GannRi00,"['', '', '', 'QB', 'QB', 'QB', '', None, '', '', 'qb', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', '', '']"
20,Bobby Hoying,HoyiBo00,"['', 'qb', 'QB', '', '', '']"
21,Brett Favre,FavrBr00,"['', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '']"
27,Matt Hasselbeck,HassMa00,"['', '', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'QB', 'QB', 'qb', '', '', 'QB', '']"
1,Troy Aikman,AikmTr00,"['QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '']"
15,Jason Garrett,GarrJa00,"['qb', 'qb', '', '', '', 'qb', 'qb', '', '']"
16,Glenn Foley,FoleGl00,"['', '', 'qb', 'qb', 'qb', 'qb', '']"
31,Jon Kitna,KitnJo00,"['qb', 'qb', 'QB', 'qb', 'QB', 'QB', 'QB', 'qb', '', 'QB', 'QB', 'qb', 'QB', '', '']"
24,Damon Huard,HuarDa00,"['', 'qb', '', '', '', 'QB', 'QB', 'qb', '']"
35,Dan Marino,MariDa00,"['QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '']"
3,Tony Banks,BankTo00,"['QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'qb', '', '', '']"
8,Stoney Case,CaseSt00,"['', 'qb', 'qb', 'qb', '']"
31,Scott Mitchell,MitcSc00,"['', '', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'qb', 'qb', '', '']"
3,Charlie Batch,BatcCh00,"['QB', 'QB', 'QB', 'QB', '', 'qb', 'qb', 'qb', '', 'qb', 'qb', 'qb', '']"
22,Gus Frerotte,FrerGu00,"['qb', 'QB', 'QB', 'QB', 'qb', 'qb', '', 'qb', 'qb', 'qb', '', 'QB', '', 'qb', 'QB', '']"
10,Doug Flutie,FlutDo00,"['qb', '', '', 'QB', 'qb', None, 'QB', 'QB', 'qb', 'QB', '', 'qb', 'qb', 'k', '']"
20,Rob Johnson,JohnRo00,"['', '', 'qb', 'qb', 'qb', 'qb', 'QB', 'qb', '', '', '']"
46,Alex Van Pelt,VanPAl00,"['', '', '', '', '', '', 'qb', '', '', '']"
45,Kordell Stewart,StewKo00,"['qb', 'qb', 'QB', 'QB', 'fl/QB', 'qb', 'QB', 'qb', 'qb', '', '', '']"
47,Mike Tomczak,TomcMi00,"['', 'QB', 'qb', 'qb', 'QB', 'qb', 'qb', 'QB', 'qb', 'qb', 'qb', 'QB', '', '', 'qb', '']"
4,Bubby Brister,BrisBu00,"['qb', '', 'QB', 'QB', 'QB', 'qb', 'qb', 'QB', 'qb', 'qb', '', 'qb', '', '', '']"
20,Brian Griese,GrieBr00,"['', 'QB', 'qb', 'fb/QB', 'QB', 'qb', 'QB', 'qb', '', 'qb', 'qb', '']"
33,Chris Miller,MillCh00,"['qb', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'QB', None, 'qb', '']"
35,Ray Lucas,LucaRa00,"['', '', '', 'QB', '', '', 'qb', '']"
42,Rick Mirer,MireRi00,"['QB', 'QB', 'QB', 'QB', 'qb', 'qb', '', 'QB', '']"
55,Vinny Testaverde,TestVi00,"['qb', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'QB', 'qb', 'qb', 'QB', 'qb', '', 'qb', '']"
