,Name,player_id,position
3,Tom Brady,BradTo00,"['', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '']"
25,Brian Hoyer,HoyeBr00,"['', '', '', '', '', 'QB', 'QB', 'qb', '', '', '', '', '']"
53,Philip Rivers,RivePh00,"['', '', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '']"
67,Billy Volek,VoleBi00,"['', 'qb', 'QB', 'qb', '', '', '', '', '', '']"
41,Kevin Kolb,KolbKe00,"['', '', 'qb', 'qb', 'QB', 'qb', '']"
62,Michael Vick,VickMi00,"['', 'QB', '', 'QB', 'QB', 'QB', None, None, '', 'QB', 'QB', 'QB', 'qb', '', '', '']"
39,Peyton Manning,MannPe00,"['QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', None, 'QB', 'QB', 'QB', 'QB', '']"
36,Chris Redman,RedmCh00,"['', '', 'qb', '', 'qb', 'qb', '', '', '']"
38,Matt Ryan,RyanMa00,"['QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '']"
4,Kyle Boller,BollKy00,"['QB', 'QB', 'QB', '', 'QB', 'qb', '', 'qb', '']"
11,Jason Campbell,CampJa00,"['qb', 'QB', 'QB', 'QB', 'QB', 'qb', '', 'QB', '', '']"
21,Bruce Gradkowski,GradBr00,"['QB', '', 'qb', 'qb', 'qb', '', '', '', '']"
34,Jon Kitna,KitnJo00,"['qb', 'qb', 'QB', 'qb', 'QB', 'QB', 'QB', 'qb', '', 'QB', 'QB', 'qb', 'QB', '', '']"
42,Stephen McGee,McGeSt00,"['qb', '', '']"
49,Tony Romo,RomoTo00,"['', '', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'QB', 'QB', 'QB', 'qb', '', '']"
38,Eli Manning,MannEl00,"['qb', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', '']"
50,Sage Rosenfels,RoseSa00,"['', '', 'qb', 'qb', '', 'qb', 'qb', '', '']"
42,Dan Orlovsky,OrloDa00,"['', 'qb', '', 'qb', '', '', '', '', '']"
49,Matt Schaub,SchaMa00,"['', '', '', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '', '', '', '', '', '']"
47,Aaron Rodgers,RodgAa00,"['', '', '', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'QB', '']"
5,Drew Brees,BreeDr00,"['', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '']"
