,Name,player_id,position
37,Matt Moore,MoorMa01,"['qb', 'qb', 'qb', 'QB', '', '', '', '', 'qb', 'qb', 'qb', '']"
39,J.T. O'Sullivan,OSulJ.00,"['', '', 'QB', '', '']"
41,Carson Palmer,PalmCa00,"['QB', 'QB', 'QB', 'QB', '', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'QB', 'QB', '']"
9,Matt Cassel,CassMa00,"['', '', '', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'qb', '', 'qb', 'qb', 'qb', '', '']"
18,Brodie Croyle,CroyBr00,"['', 'qb', 'qb', 'qb', 'qb', '']"
59,Tyler Thigpen,ThigTy00,"['', 'QB', '', '', 'qb', '', '', '', '']"
17,David Garrard,GarrDa00,"['qb', '', 'qb', 'qb', 'QB', 'QB', 'QB', 'QB', 'QB', '']"
36,Luke McCown,McCoLu00,"['qb', 'qb', '', '', '', 'qb', '', '', '', 'qb', '']"
16,Matt Hasselbeck,HassMa00,"['', '', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'QB', 'QB', 'qb', '', '', 'QB', '']"
54,Seneca Wallace,WallSe00,"['', 'qb', '', 'QB', 'qb', 'qb', 'qb', 'qb', '']"
6,Jason Campbell,CampJa00,"['qb', 'QB', 'QB', 'QB', 'QB', 'qb', '', 'QB', '', '']"
9,Todd Collins,CollTo00,"['qb', 'qb', 'QB', '', '', '', '', '', '', 'qb', '', 'qb', '']"
10,Daunte Culpepper,CulpDa00,"['', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'qb', 'qb', 'qb', 'qb', '']"
62,Matthew Stafford,StafMa00,"['QB', '', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '']"
64,Drew Stanton,StanDr00,"['', 'qb', 'qb', '', 'QB', '', 'qb', 'qb', '']"
1,Brian Brohm,BrohBr00,"['qb', 'qb', '']"
10,Trent Edwards,EdwaTr01,"['QB', 'QB', 'qb', '', '', '', '']"
15,Ryan Fitzpatrick,FitzRy00,"['', '', '', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '', 'qb', 'QB', '']"
2,Derek Anderson,AndeDe00,"['qb', 'QB', 'QB', 'qb', 'QB', '', '', '', 'qb', '', 'qb', '', 'qb', '']"
40,Brady Quinn,QuinBr00,"['', '', 'QB', 'qb', '']"
21,Josh Freeman,FreeJo00,"['QB', 'QB', 'QB', 'QB', '', 'qb', 'qb', '']"
31,Josh Johnson,JohnJo05,"['qb', '', 'qb', '', '', '', 'qb', '']"
35,Byron Leftwich,LeftBy00,"['QB', 'QB', 'QB', 'qb', 'qb', '', 'qb', '', 'qb', '']"
15,Charlie Frye,FryeCh00,"['qb', 'QB', 'qb', 'qb', 'qb', '']"
17,Bruce Gradkowski,GradBr00,"['QB', '', 'qb', 'qb', 'qb', '', '', '', '']"
31,J.P. Losman,LosmJ.00,"['', 'QB', 'QB', 'qb', 'qb', '', '', '']"
50,JaMarcus Russell,RussJa00,"['qb', 'QB', 'QB', '']"
11,Kyle Boller,BollKy00,"['QB', 'QB', 'QB', '', 'QB', 'qb', '', 'qb', '']"
14,Marc Bulger,BulgMa00,"['qb', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '']"
51,Keith Null,NullKe00,"['qb', '']"
